model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
\shortstack{(3) HTW\\(EU sanctions)},contelection,2.6195244765216192,0.46595673685953914,5.621819085987944,1.889570919977604e-8,1.7062660539231156,3.532782899120123
\shortstack{(3) HTW\\(EU sanctions)},deltafhcl,0.36755517349947886,0.36366322040995014,1.0107020805819775,0.3121590409533629,-0.34521164100587465,1.0803219880048323
\shortstack{(3) HTW\\(EU sanctions)},lnondmhrsancgoal,-0.27267377939692344,0.7832219436467424,-0.34814369235791975,0.7277322725548757,-1.8077605808459978,1.262413022052151
\shortstack{(3) HTW\\(EU sanctions)},noeudemsanct1,-1.4392967113470043,0.5985613251286773,-2.404593566143933,0.016190461002931828,-2.612455351137781,-0.2661380715562276
\shortstack{(3) HTW\\(EU sanctions)},noeudemsanct2,0.19052313778936797,0.09494439362337886,2.006681284891097,0.04478361002074087,0.004435545753551096,0.37661072982518484
\shortstack{(3) HTW\\(EU sanctions)},noeudemsanct3,-0.007324209580269507,0.004196862635885581,-1.7451630457578755,0.08095649179849125,-0.015549909194667082,9.014900341280689e-4
\shortstack{(4) HTW\\(US sanctions)},(Intercept),-1.114577714103311,0.8622066924307801,-1.292703621867087,0.19611358463209466,-2.804471778497043,0.5753163502904208
\shortstack{(4) HTW\\(US sanctions)},couprev,4.947044839907341,0.681234963110113,7.261877483977161,3.817539078359548e-13,3.6118488472020474,6.282240832612635
\shortstack{(4) HTW\\(US sanctions)},ifhpol,-0.11628457998793931,0.11092268511054217,-1.048339028865499,0.294482433902373,-0.3336890478730792,0.10111988789720056
\shortstack{(4) HTW\\(US sanctions)},contelection,2.2745908989256387,0.4957412666602898,4.5882621679835225,4.4695111964011655e-6,1.3029558706212039,3.2462259272300735
\shortstack{(4) HTW\\(US sanctions)},deltafhcl,0.3494104926117331,0.4177992484443077,0.8363119223234057,0.4029794477326487,-0.46946098710701195,1.1682819723304783
\shortstack{(4) HTW\\(US sanctions)},lnondmhrsancgoal,-0.5225828549320081,1.0015104001997739,-0.5217947360584244,0.6018132551371108,-2.4855071694658606,1.4403414596018442
\shortstack{(4) HTW\\(US sanctions)},nousdemsanct1,-2.0670124243275514,0.6497813538995314,-3.1810891647210164,0.0014672246373749263,-3.340560475796307,-0.7934643728587953
\shortstack{(4) HTW\\(US sanctions)},nousdemsanct2,0.253180626157288,0.09259170512014038,2.734376970688453,0.0062498446366747624,0.07170421885465997,0.434657033459916
\shortstack{(4) HTW\\(US sanctions)},nousdemsanct3,-0.008660115192580002,0.003610867466041113,-2.3983475644080587,0.016469229805625218,-0.015737285378967986,-0.0015829450061920162
